AL,CULLMAN,Cullman,AL | CULLMAN,01043
AL,DALE,Dale,AL | DALE,01045
AL,DALLAS,Dallas,AL | DALLAS,01047
AL,DE KALB,DeKalb,AL | DEKALB,01049
AL,ELMORE,Elmore,AL | ELMORE,01051
AL,ESCAMBIA,Escambia,AL | ESCAMBIA,01053
AL,ETOWAH,Etowah,AL | ETOWAH,01055
AL,FAYETTE,Fayette,AL | FAYETTE,01057
AL,FRANKLIN,Franklin,AL | FRANKLIN,01059
AL,GENEVA,Geneva,AL | GENEVA,01061
AL,GREENE,Greene,AL | GREENE,01063
AL,HALE,Hale,AL | HALE,01065
AL,HENRY,Henry,AL | HENRY,01067
AL,HOUSTON,Houston,AL | HOUSTON,01069
AL,JACKSON,Jackson,AL | JACKSON,01071
AL,JEFFERSON,Jefferson,AL | JEFFERSON,01073
AL,LAMAR,Lamar,AL | LAMAR,01075
AL,LAUDERDALE,Lauderdale,AL | LAUDERDALE,01077
AL,LAWRENCE,Lawrence,AL | LAWRENCE,01079
AL,LEE,Lee,AL | LEE,01081
AL,LIMESTONE,Limestone,AL | LIMESTONE,01083
AL,LOWNDES,Lowndes,AL | LOWNDES,01085
AL,MACON,Macon,AL | MACON,01087
AL,MADISON,Madison,AL | MADISON,01089
AL,MARENGO,Marengo,AL | MARENGO,01091
AL,MARION,Marion,AL | MARION,01093
AL,MARSHALL,Marshall,AL | MARSHALL,01095
AL,MOBILE,Mobile,AL | MOBILE,01097
AL,MONROE,Monroe,AL | MONROE,01099
AL,MONTGOMERY,Montgomery,AL | MONTGOMERY,01101
AL,MORGAN,Morgan,AL | MORGAN,01103
AL,PERRY,Perry,AL | PERRY,01105
AL,PICKENS,Pickens,AL | PICKENS,01107
AL,PIKE,Pike,AL | PIKE,01109
AL,RANDOLPH,Randolph,AL | RANDOLPH,01111
AL,RUSSELL,Russell,AL | RUSSELL,01113
AL,SAINT CLAIR,St. Clair,AL | ST. CLAIR,01115
AL,SHELBY,Shelby,AL | SHELBY,01117
AL,SUMTER,Sumter,AL | SUMTER,01119
AL,TALLADEGA,Talladega,AL | TALLADEGA,01121
AL,TALLAPOOSA,Tallapoosa,AL | TALLAPOOSA,01123
AL,TUSCALOOSA,Tuscaloosa,AL | TUSCALOOSA,01125
AL,WALKER,Walker,AL | WALKER,01127
AL,WASHINGTON,Washington,AL | WASHINGTON,01129
AL,WILCOX,Wilcox,AL | WILCOX,01131
AL,WINSTON,Winston,AL | WINSTON,01133
AR,ARKANSAS,Arkansas,AR | ARKANSAS,05001
AR,ASHLEY,Ashley,AR | ASHLEY,05003
AR,BAXTER,Baxter,AR | BAXTER,05005
AR,BENTON,Benton,AR | BENTON,05007
AR,BOONE,Boone,AR | BOONE,05009
AR,BRADLEY,Bradley,AR | BRADLEY,05011
AR,CALHOUN,Calhoun,AR | CALHOUN,05013
AR,CARROLL,Carroll,AR | CARROLL,05015
AR,CHICOT,Chicot,AR | CHICOT,05017
AR,CLARK,Clark,AR | CLARK,05019
AR,CLAY,Clay,AR | CLAY,05021
AR,CLEBURNE,Cleburne,AR | CLEBURNE,05023
AR,CLEVELAND,Cleveland,AR | CLEVELAND,05025
AR,COLUMBIA,Columbia,AR | COLUMBIA,05027
AR,CONWAY,Conway,AR | CONWAY,05029
AR,CRAIGHEAD,Craighead,AR | CRAIGHEAD,05031
AR,CRAWFORD,Crawford,AR | CRAWFORD,05033
AR,CRITTENDEN,Crittenden,AR | CRITTENDEN,05035
AR,CROSS,Cross,AR | CROSS,05037
AR,DALLAS,Dallas,AR | DALLAS,05039
AR,DESHA,Desha,AR | DESHA,05041
AR,DREW,Drew,AR | DREW,05043
AR,FAULKNER,Faulkner,AR | FAULKNER,05045
AR,FRANKLIN,Franklin,AR | FRANKLIN,05047
AR,FULTON,Fulton,AR | FULTON,05049
AR,GARLAND,Garland,AR | GARLAND,05051
AR,GRANT,Grant,AR | GRANT,05053
AR,GREENE,Greene,AR | GREENE,05055
AR,HEMPSTEAD,Hempstead,AR | HEMPSTEAD,05057
AR,HOT SPRING,Hot Spring,AR | HOT SPRING,05059
AR,HOWARD,Howard,AR | HOWARD,05061
AR,INDEPENDENCE,Independence,AR | INDEPENDENCE,05063
AR,IZARD,Izard,AR | IZARD,05065
AR,JACKSON,Jackson,AR | JACKSON,05067
AR,JEFFERSON,Jefferson,AR | JEFFERSON,05069
AR,JOHNSON,Johnson,AR | JOHNSON,05071
AR,LAFAYETTE,Lafayette,AR | LAFAYETTE,05073
AR,LAWRENCE,Lawrence,AR | LAWRENCE,05075
AR,LEE,Lee,AR | LEE,05077
AR,LINCOLN,Lincoln,AR | LINCOLN,05079
AR,LITTLE RIVER,Little River,AR | LITTLE RIVER,05081
AR,LOGAN,Logan,AR | LOGAN,05083
AR,LONOKE,Lonoke,AR | LONOKE,05085
AR,MADISON,Madison,AR | MADISON,05087
AR,MARION,Marion,AR | MARION,05089
AR,MILLER,Miller,AR | MILLER,05091
AR,MISSISSIPPI,Mississippi,AR | MISSISSIPPI,05093
AR,MONROE,Monroe,AR | MONROE,05095
AR,MONTGOMERY,Montgomery,AR | MONTGOMERY,05097
AR,NEVADA,Nevada,AR | NEVADA,05099
AR,NEWTON,Newton,AR | NEWTON,05101
AR,OUACHITA,Ouachita,AR | OUACHITA,05103
AR,PERRY,Perry,AR | PERRY,05105
AR,PHILLIPS,Phillips,AR | PHILLIPS,05107
AR,PIKE,Pike,AR | PIKE,05109
AR,POINSETT,Poinsett,AR | POINSETT,05111
AR,POLK,Polk,AR | POLK,05113
AR,POPE,Pope,AR | POPE,05115
AR,PRAIRIE,Prairie,AR | PRAIRIE,05117
AR,PULASKI,Pulaski,AR | PULASKI,05119
AR,RANDOLPH,Randolph,AR | RANDOLPH,05121
AR,SAINT FRANCIS,St. Francis,AR | ST. FRANCIS,05123
AR,SALINE,Saline,AR | SALINE,05125
AR,SCOTT,Scott,AR | SCOTT,05127
AR,SEARCY,Searcy,AR | SEARCY,05129
AR,SEBASTIAN,Sebastian,AR | SEBASTIAN,05131
AR,SEVIER,Sevier,AR | SEVIER,05133
AR,SHARP,Sharp,AR | SHARP,05135
AR,STONE,Stone,AR | STONE,05137
AR,UNION,Union,AR | UNION,05139
AR,VAN BUREN,Van Buren,AR | VAN BUREN,05141
AR,WASHINGTON,Washington,AR | WASHINGTON,05143
AR,WHITE,White,AR | WHITE,05145
AR,WOODRUFF,Woodruff,AR | WOODRUFF,05147
AR,YELL,Yell,AR | YELL,05149
AS,AMERICAN SAMOA,,,
AZ,APACHE,Apache,AZ | APACHE,04001
AZ,COCHISE,Cochise,AZ | COCHISE,04003
AZ,COCONINO,Coconino,AZ | COCONINO,04005
AZ,GILA,Gila,AZ | GILA,04007
AZ,GRAHAM,Graham,AZ | GRAHAM,04009
AZ,GREENLEE,Greenlee,AZ | GREENLEE,04011
AZ,LA PAZ,La Paz,AZ | LA PAZ,04012
AZ,MARICOPA,Maricopa,AZ | MARICOPA,04013
AZ,MOHAVE,Mohave,AZ | MOHAVE,04015
AZ,NAVAJO,Navajo,AZ | NAVAJO,04017
AZ,PIMA,Pima,AZ | PIMA,04019
AZ,PINAL,Pinal,AZ | PINAL,04021
AZ,SANTA CRUZ,Santa Cruz,AZ | SANTA CRUZ,04023
AZ,YAVAPAI,Yavapai,AZ | YAVAPAI,04025
AZ,YUMA,Yuma,AZ | YUMA,04027
CA,ALAMEDA,Alameda,CA | ALAMEDA,06001
CA,ALPINE,Alpine,CA | ALPINE,06003
CA,AMADOR,Amador,CA | AMADOR,06005
CA,BUTTE,Butte,CA | BUTTE,06007
CA,CALAVERAS,Calaveras,CA | CALAVERAS,06009
CA,COLUSA,Colusa,CA | COLUSA,06011
CA,CONTRA COSTA,Contra Costa,CA | CONTRA COSTA,06013
CA,DEL NORTE,Del Norte,CA | DEL NORTE,06015
CA,EL DORADO,El Dorado,CA | EL DORADO,06017
CA,FRESNO,Fresno,CA | FRESNO,06019
CA,GLENN,Glenn,CA | GLENN,06021
CA,HUMBOLDT,Humboldt,CA | HUMBOLDT,06023
CA,IMPERIAL,Imperial,CA | IMPERIAL,06025
CA,INYO,Inyo,CA | INYO,06027
CA,KERN,Kern,CA | KERN,06029
CA,KINGS,Kings,CA | KINGS,06031
CA,LAKE,Lake,CA | LAKE,06033
CA,LASSEN,Lassen,CA | LASSEN,06035
CA,LOS ANGELES,Los Angeles,CA | LOS ANGELES,06037
CA,MADERA,Madera,CA | MADERA,06039
CA,MARIN,Marin,CA | MARIN,06041
CA,MARIPOSA,Mariposa,CA | MARIPOSA,06043
CA,MENDOCINO,Mendocino,CA | MENDOCINO,06045
CA,MERCED,Merced,CA | MERCED,06047
CA,MODOC,Modoc,CA | MODOC,06049
CA,MONO,Mono,CA | MONO,06051
CA,MONTEREY,Monterey,CA | MONTEREY,06053
CA,NAPA,Napa,CA | NAPA,06055
CA,NEVADA,Nevada,CA | NEVADA,06057
CA,ORANGE,Orange,CA | ORANGE,06059
CA,PLACER,Placer,CA | PLACER,06061
CA,PLUMAS,Plumas,CA | PLUMAS,06063
CA,RIVERSIDE,Riverside,CA | RIVERSIDE,06065
CA,SACRAMENTO,Sacramento,CA | SACRAMENTO,06067
CA,SAN BENITO,San Benito,CA | SAN BENITO,06069
CA,SAN BERNARDINO,San Bernardino,CA | SAN BERNARDINO,06071
CA,SAN DIEGO,San Diego,CA | SAN DIEGO,06073
CA,SAN FRANCISCO,San Francisco,CA | SAN FRANCISCO,06075
CA,SAN JOAQUIN,San Joaquin,CA | SAN JOAQUIN,06077
CA,SAN LUIS OBISPO,San Luis Obispo,CA | SAN LUIS OBISPO,06079
CA,SAN MATEO,San Mateo,CA | SAN MATEO,06081
CA,SANTA BARBARA,Santa Barbara,CA | SANTA BARBARA,06083
CA,SANTA CLARA,Santa Clara,CA | SANTA CLARA,06085
CA,SANTA CRUZ,Santa Cruz,CA | SANTA CRUZ,06087
CA,SHASTA,Shasta,CA | SHASTA,06089
CA,SIERRA,Sierra,CA | SIERRA,06091
CA,SISKIYOU,Siskiyou,CA | SISKIYOU,06093
CA,SOLANO,Solano,CA | SOLANO,06095
CA,SONOMA,Sonoma,CA | SONOMA,06097
CA,STANISLAUS,Stanislaus,CA | STANISLAUS,06099
CA,SUTTER,Sutter,CA | SUTTER,06101
CA,TEHAMA,Tehama,CA | TEHAMA,06103
CA,TRINITY,Trinity,CA | TRINITY,06105
CA,TULARE,Tulare,CA | TULARE,06107
CA,TUOLUMNE,Tuolumne,CA | TUOLUMNE,06109
CA,VENTURA,Ventura,CA | VENTURA,06111
CA,YOLO,Yolo,CA | YOLO,06113
CA,YUBA,Yuba,CA | YUBA,06115
CO,ADAMS,Adams,CO | ADAMS,08001
CO,ALAMOSA,Alamosa,CO | ALAMOSA,08003
CO,ARAPAHOE,Arapahoe,CO | ARAPAHOE,08005
CO,ARCHULETA,Archuleta,CO | ARCHULETA,08007
CO,BACA,Baca,CO | BACA,08009
CO,BENT,Bent,CO | BENT,08011
CO,BOULDER,Boulder,CO | BOULDER,08013
CO,BROOMFIELD,Broomfield,CO | BROOMFIELD,08014
CO,CHAFFEE,Chaffee,CO | CHAFFEE,08015
CO,CHEYENNE,Cheyenne,CO | CHEYENNE,08017
CO,CLEAR CREEK,Clear Creek,CO | CLEAR CREEK,08019
CO,CONEJOS,Conejos,CO | CONEJOS,08021
CO,COSTILLA,Costilla,CO | COSTILLA,08023
CO,CROWLEY,Crowley,CO | CROWLEY,08025
CO,CUSTER,Custer,CO | CUSTER,08027
CO,DELTA,Delta,CO | DELTA,08029
CO,DENVER,Denver,CO | DENVER,08031
CO,DOLORES,Dolores,CO | DOLORES,08033
CO,DOUGLAS,Douglas,CO | DOUGLAS,08035
CO,EAGLE,Eagle,CO | EAGLE,08037
CO,EL PASO,El Paso,CO | EL PASO,08041
CO,ELBERT,Elbert,CO | ELBERT,08039
CO,FREMONT,Fremont,CO | FREMONT,08043
CO,GARFIELD,Garfield,CO | GARFIELD,08045
CO,GILPIN,Gilpin,CO | GILPIN,08047
CO,GRAND,Grand,CO | GRAND,08049
CO,GUNNISON,Gunnison,CO | GUNNISON,08051
CO,HINSDALE,Hinsdale,CO | HINSDALE,08053
CO,HUERFANO,Huerfano,CO | HUERFANO,08055
CO,JACKSON,Jackson,CO | JACKSON,08057
CO,JEFFERSON,Jefferson,CO | JEFFERSON,08059
CO,KIOWA,Kiowa,CO | KIOWA,08061
CO,KIT CARSON,Kit Carson,CO | KIT CARSON,08063
CO,LA PLATA,La Plata,CO | LA PLATA,08067
CO,LAKE,Lake,CO | LAKE,08065
CO,LARIMER,Larimer,CO | LARIMER,08069
CO,LAS ANIMAS,Las Animas,CO | LAS ANIMAS,08071
CO,LINCOLN,Lincoln,CO | LINCOLN,08073
CO,LOGAN,Logan,CO | LOGAN,08075
CO,MESA,Mesa,CO | MESA,08077
CO,MINERAL,Mineral,CO | MINERAL,08079
CO,MOFFAT,Moffat,CO | MOFFAT,08081
CO,MONTEZUMA,Montezuma,CO | MONTEZUMA,08083
CO,MONTROSE,Montrose,CO | MONTROSE,08085
CO,MORGAN,Morgan,CO | MORGAN,08087
CO,OTERO,Otero,CO | OTERO,08089
CO,OURAY,Ouray,CO | OURAY,08091
CO,PARK,Park,CO | PARK,08093
CO,PHILLIPS,Phillips,CO | PHILLIPS,08095
CO,PITKIN,Pitkin,CO | PITKIN,08097
CO,PROWERS,Prowers,CO | PROWERS,08099
CO,PUEBLO,Pueblo,CO | PUEBLO,08101
CO,RIO BLANCO,Rio Blanco,CO | RIO BLANCO,08103
CO,RIO GRANDE,Rio Grande,CO | RIO GRANDE,08105
CO,ROUTT,Routt,CO | ROUTT,08107
CO,SAGUACHE,Saguache,CO | SAGUACHE,08109
CO,SAN JUAN,San Juan,CO | SAN JUAN,08111
CO,SAN MIGUEL,San Miguel,CO | SAN MIGUEL,08113
CO,SEDGWICK,Sedgwick,CO | SEDGWICK,08115
CO,SUMMIT,Summit,CO | SUMMIT,08117
CO,TELLER,Teller,CO | TELLER,08119
CO,WASHINGTON,Washington,CO | WASHINGTON,08121
CO,WELD,Weld,CO | WELD,08123
CO,YUMA,Yuma,CO | YUMA,08125
CT,FAIRFIELD,Fairfield,CT | FAIRFIELD,09001
CT,HARTFORD,Hartford,CT | HARTFORD,09003
CT,LITCHFIELD,Litchfield,CT | LITCHFIELD,09005
CT,MIDDLESEX,Middlesex,CT | MIDDLESEX,09007
CT,NEW HAVEN,New Haven,CT | NEW HAVEN,09009
CT,NEW LONDON,New London,CT | NEW LONDON,09011
CT,TOLLAND,Tolland,CT | TOLLAND,09013
CT,WINDHAM,Windham,CT | WINDHAM,09015
DC,DISTRICT OF COLUMBIA,District of Columbia,DC | DISTRICT OF COLUMBIA,11001
DE,KENT,Kent,DE | KENT,10001
DE,NEW CASTLE,New Castle,DE | NEW CASTLE,10003
DE,SUSSEX,Sussex,DE | SUSSEX,10005
FL,ALACHUA,Alachua,FL | ALACHUA,12001
FL,BAKER,Baker,FL | BAKER,12003
FL,BAY,Bay,FL | BAY,12005
FL,BRADFORD,Bradford,FL | BRADFORD,12007
FL,BREVARD,Brevard,FL | BREVARD,12009
FL,BROWARD,Broward,FL | BROWARD,12011
FL,CALHOUN,Calhoun,FL | CALHOUN,12013
FL,CHARLOTTE,Charlotte,FL | CHARLOTTE,12015
FL,CITRUS,Citrus,FL | CITRUS,12017
FL,CLAY,Clay,FL | CLAY,12019
FL,COLLIER,Collier,FL | COLLIER,12021
FL,COLUMBIA,Columbia,FL | COLUMBIA,12023
FL,DE SOTO,DeSoto,FL | DESOTO,12027
FL,DIXIE,Dixie,FL | DIXIE,12029
FL,DUVAL,Duval,FL | DUVAL,12031
FL,ESCAMBIA,Escambia,FL | ESCAMBIA,12033
FL,FLAGLER,Flagler,FL | FLAGLER,12035
FL,FRANKLIN,Franklin,FL | FRANKLIN,12037
FL,GADSDEN,Gadsden,FL | GADSDEN,12039
FL,GILCHRIST,Gilchrist,FL | GILCHRIST,12041
FL,GLADES,Glades,FL | GLADES,12043
FL,GULF,Gulf,FL | GULF,12045
FL,HAMILTON,Hamilton,FL | HAMILTON,12047
FL,HARDEE,Hardee,FL | HARDEE,12049
FL,HENDRY,Hendry,FL | HENDRY,12051
FL,HERNANDO,Hernando,FL | HERNANDO,12053
FL,HIGHLANDS,Highlands,FL | HIGHLANDS,12055
FL,HILLSBOROUGH,Hillsborough,FL | HILLSBOROUGH,12057
FL,HOLMES,Holmes,FL | HOLMES,12059
FL,INDIAN RIVER,Indian River,FL | INDIAN RIVER,12061
FL,JACKSON,Jackson,FL | JACKSON,12063
FL,JEFFERSON,Jefferson,FL | JEFFERSON,12065
FL,LAFAYETTE,Lafayette,FL | LAFAYETTE,12067
FL,LAKE,Lake,FL | LAKE,12069
FL,LEE,Lee,FL | LEE,12071
FL,LEON,Leon,FL | LEON,12073
FL,LEVY,Levy,FL | LEVY,12075
FL,LIBERTY,Liberty,FL | LIBERTY,12077
FL,MADISON,Madison,FL | MADISON,12079
FL,MANATEE,Manatee,FL | MANATEE,12081
FL,MARION,Marion,FL | MARION,12083
FL,MARTIN,Martin,FL | MARTIN,12085
FL,MIAMI-DADE,Miami-Dade,FL | MIAMI-DADE,12086
FL,MONROE,Monroe,FL | MONROE,12087
FL,NASSAU,Nassau,FL | NASSAU,12089
FL,OKALOOSA,Okaloosa,FL | OKALOOSA,12091
FL,OKEECHOBEE,Okeechobee,FL | OKEECHOBEE,12093
FL,ORANGE,Orange,FL | ORANGE,12095
FL,OSCEOLA,Osceola,FL | OSCEOLA,12097
FL,PALM BEACH,Palm Beach,FL | PALM BEACH,12099
FL,PASCO,Pasco,FL | PASCO,12101
FL,PINELLAS,Pinellas,FL | PINELLAS,12103
FL,POLK,Polk,FL | POLK,12105
FL,PUTNAM,Putnam,FL | PUTNAM,12107
FL,SAINT JOHNS,St. Johns,FL | ST. JOHNS,12109
FL,SAINT LUCIE,St. Lucie,FL | ST. LUCIE,12111
FL,SANTA ROSA,Santa Rosa,FL | SANTA ROSA,12113
FL,SARASOTA,Sarasota,FL | SARASOTA,12115
FL,SEMINOLE,Seminole,FL | SEMINOLE,12117
FL,SUMTER,Sumter,FL | SUMTER,12119
FL,SUWANNEE,Suwannee,FL | SUWANNEE,12121
FL,TAYLOR,Taylor,FL | TAYLOR,12123
FL,UNION,Union,FL | UNION,12125
FL,VOLUSIA,Volusia,FL | VOLUSIA,12127
FL,WAKULLA,Wakulla,FL | WAKULLA,12129
FL,WALTON,Walton,FL | WALTON,12131
FL,WASHINGTON,Washington,FL | WASHINGTON,12133
GA,APPLING,Appling,GA | APPLING,13001
GA,ATKINSON,Atkinson,GA | ATKINSON,13003
GA,BACON,Bacon,GA | BACON,13005
GA,BAKER,Baker,GA | BAKER,13007
GA,BALDWIN,Baldwin,GA | BALDWIN,13009
GA,BANKS,Banks,GA | BANKS,13011
GA,BARROW,Barrow,GA | BARROW,13013
GA,BARTOW,Bartow,GA | BARTOW,13015
GA,BEN HILL,Ben Hill,GA | BEN HILL,13017
GA,BERRIEN,Berrien,GA | BERRIEN,13019
GA,BIBB,Bibb,GA | BIBB,13021
GA,BLECKLEY,Bleckley,GA | BLECKLEY,13023
GA,BRANTLEY,Brantley,GA | BRANTLEY,13025
GA,BROOKS,Brooks,GA | BROOKS,13027
GA,BRYAN,Bryan,GA | BRYAN,13029
GA,BULLOCH,Bulloch,GA | BULLOCH,13031
GA,BURKE,Burke,GA | BURKE,13033
GA,BUTTS,Butts,GA | BUTTS,13035
GA,CALHOUN,Calhoun,GA | CALHOUN,13037
GA,CAMDEN,Camden,GA | CAMDEN,13039
GA,CANDLER,Candler,GA | CANDLER,13043
GA,CARROLL,Carroll,GA | CARROLL,13045
GA,CATOOSA,Catoosa,GA | CATOOSA,13047
GA,CHARLTON,Charlton,GA | CHARLTON,13049
GA,CHATHAM,Chatham,GA | CHATHAM,13051
GA,CHATTAHOOCHEE,Chattahoochee,GA | CHATTAHOOCHEE,13053
GA,CHATTOOGA,Chattooga,GA | CHATTOOGA,13055
GA,CHEROKEE,Cherokee,GA | CHEROKEE,13057
GA,CLARKE,Clarke,GA | CLARKE,13059
GA,CLAY,Clay,GA | CLAY,13061
GA,CLAYTON,Clayton,GA | CLAYTON,13063
GA,CLINCH,Clinch,GA | CLINCH,13065
GA,COBB,Cobb,GA | COBB,13067
GA,COFFEE,Coffee,GA | COFFEE,13069
GA,COLQUITT,Colquitt,GA | COLQUITT,13071
GA,COLUMBIA,Columbia,GA | COLUMBIA,13073
GA,COOK,Cook,GA | COOK,13075
GA,COWETA,Coweta,GA | COWETA,13077
GA,CRAWFORD,Crawford,GA | CRAWFORD,13079
GA,CRISP,Crisp,GA | CRISP,13081
GA,DADE,Dade,GA | DADE,13083
GA,DAWSON,Dawson,GA | DAWSON,13085
GA,DECATUR,Decatur,GA | DECATUR,13087
GA,DEKALB,DeKalb,GA | DEKALB,13089
GA,DODGE,Dodge,GA | DODGE,13091
GA,DOOLY,Dooly,GA | DOOLY,13093
GA,DOUGHERTY,Dougherty,GA | DOUGHERTY,13095
GA,DOUGLAS,Douglas,GA | DOUGLAS,13097
GA,EARLY,Early,GA | EARLY,13099
GA,ECHOLS,Echols,GA | ECHOLS,13101
GA,EFFINGHAM,Effingham,GA | EFFINGHAM,13103
GA,ELBERT,Elbert,GA | ELBERT,13105
GA,EMANUEL,Emanuel,GA | EMANUEL,13107
GA,EVANS,Evans,GA | EVANS,13109
GA,FANNIN,Fannin,GA | FANNIN,13111
GA,FAYETTE,Fayette,GA | FAYETTE,13113
GA,FLOYD,Floyd,GA | FLOYD,13115
GA,FORSYTH,Forsyth,GA | FORSYTH,13117
GA,FRANKLIN,Franklin,GA | FRANKLIN,13119
GA,FULTON,Fulton,GA | FULTON,13121
GA,GILMER,Gilmer,GA | GILMER,13123
GA,GLASCOCK,Glascock,GA | GLASCOCK,13125
GA,GLYNN,Glynn,GA | GLYNN,13127
GA,GORDON,Gordon,GA | GORDON,13129
GA,GRADY,Grady,GA | GRADY,13131
GA,GREENE,Greene,GA | GREENE,13133
GA,GWINNETT,Gwinnett,GA | GWINNETT,13135
GA,HABERSHAM,Habersham,GA | HABERSHAM,13137
GA,HALL,Hall,GA | HALL,13139
GA,HANCOCK,Hancock,GA | HANCOCK,13141
GA,HARALSON,Haralson,GA | HARALSON,13143
GA,HARRIS,Harris,GA | HARRIS,13145
GA,HART,Hart,GA | HART,13147
GA,HEARD,Heard,GA | HEARD,13149
GA,HENRY,Henry,GA | HENRY,13151
GA,HOUSTON,Houston,GA | HOUSTON,13153
GA,IRWIN,Irwin,GA | IRWIN,13155
GA,JACKSON,Jackson,GA | JACKSON,13157
GA,JASPER,Jasper,GA | JASPER,13159
GA,JEFF DAVIS,Jeff Davis,GA | JEFF DAVIS,13161
GA,JEFFERSON,Jefferson,GA | JEFFERSON,13163
GA,JENKINS,Jenkins,GA | JENKINS,13165
GA,JOHNSON,Johnson,GA | JOHNSON,13167
GA,JONES,Jones,GA | JONES,13169
GA,LAMAR,Lamar,GA | LAMAR,13171
GA,LANIER,Lanier,GA | LANIER,13173
GA,LAURENS,Laurens,GA | LAURENS,13175
GA,LEE,Lee,GA | LEE,13177
GA,LIBERTY,Liberty,GA | LIBERTY,13179
GA,LINCOLN,Lincoln,GA | LINCOLN,13181
GA,LONG,Long,GA | LONG,13183
GA,LOWNDES,Lowndes,GA | LOWNDES,13185
GA,LUMPKIN,Lumpkin,GA | LUMPKIN,13187
GA,MACON,Macon,GA | MACON,13193
GA,MADISON,Madison,GA | MADISON,13195
GA,MARION,Marion,GA | MARION,13197
